iter	RMSE
0	0.9718103996
1	0.9653938726
2	0.9595497879
3	0.9540659897
4	0.9493577215
5	0.9448432682
6	0.9403689303
7	0.9364585502
8	0.9330105863
9	0.9301810703
10	0.9267642942
11	0.9235376931
12	0.9213650906
13	0.9195559249
14	0.9177607185
15	0.9164946191
16	0.9153541887
17	0.9136010351
18	0.9126060285
19	0.9105384624
20	0.9084844036
21	0.9067418244
22	0.9049925492
23	0.903841689
24	0.9028827291
25	0.9019550535
26	0.9005996687
27	0.8995753812
28	0.8994179656
29	0.8983788906
30	0.8979319811
31	0.8972127345
32	0.896663942
33	0.8959136758
34	0.8951177546
35	0.8944791954
36	0.8941554746
37	0.8934439993
38	0.8926726528
39	0.8919165043
40	0.8912144482
41	0.8907602248
42	0.890079007
43	0.8896543186
44	0.8895598838
45	0.8893109302
46	0.8888687213
47	0.8886409295
48	0.8879738786
49	0.8875254515
50	0.8872089233
51	0.8868948207
52	0.8864502546
53	0.885958779
54	0.8853836417
55	0.885078342
56	0.8846833874
57	0.8846161684
58	0.884467239
59	0.8837353988
60	0.8831978636
61	0.8828234499
62	0.8824932197
63	0.8821118883
64	0.8818677749
65	0.8812202998
66	0.8808330803
67	0.8801561695
68	0.8799537558
69	0.8794695045
70	0.8790350494
71	0.8788442314
72	0.8785170457
73	0.8784404478
74	0.8781871433
75	0.8780920892
76	0.8775638636
77	0.8772229739
78	0.8768048599
79	0.8763664824
80	0.8762415212
81	0.8760190021
82	0.8758589706
83	0.8756340896
84	0.8754468066
85	0.8750268259
86	0.8747234889
87	0.8744788417
88	0.8738514074
89	0.8736820914
90	0.8734346074
91	0.8732209957
92	0.8730192009
93	0.8727978862
94	0.8725391514
95	0.8723118405
96	0.8721568353
97	0.8720274066
98	0.8716357828
99	0.8712672592
100	0.8709854613
101	0.8707007647
102	0.8704190906
103	0.8701547681
104	0.869972451
105	0.8697759237
106	0.8695604642
107	0.8692729876
108	0.8691085697
109	0.8689895122
110	0.8686626293
111	0.8686582998
112	0.8684157411
113	0.8681688061
114	0.8679257592
115	0.8677920785
116	0.8676606728
117	0.8676112729
118	0.8673065831
119	0.8670677483
120	0.8668413075
121	0.8665144944
122	0.8662593992
123	0.8659370091
124	0.8658393171
125	0.865723739
126	0.8655253741
127	0.8652949933
128	0.865102854
129	0.8648205661
130	0.8645532041
131	0.8643389439
132	0.8641162423
133	0.864045532
134	0.8638334618
135	0.863831112
136	0.8635776724
137	0.8633915447
138	0.8631783934
139	0.8630961297
140	0.8628544592
141	0.8628059743
142	0.8623969763
143	0.8620919451
144	0.8619350207
145	0.8618053697
146	0.8616283508
147	0.8615253572
148	0.8612971585
149	0.8610815289
150	0.8608609738
151	0.8606152448
152	0.8604542339
153	0.8601660865
154	0.8599370434
155	0.8597439956
156	0.8595279143
157	0.8594981476
158	0.8594368515
159	0.8591420211
160	0.8590289926
161	0.8588973264
162	0.8586683599
163	0.8584440305
164	0.858314394
165	0.858118904
166	0.8578807227
167	0.8574116951
168	0.8572186054
169	0.8570255896
170	0.8567514052
171	0.8564726087
172	0.8559437399
173	0.8556469359
174	0.855298426
175	0.8548729384
176	0.8544956932
177	0.853981
178	0.8537219063
179	0.8534066286
180	0.8532657312
181	0.8529572975
182	0.852339511
183	0.8520001236
184	0.8516156554
185	0.8513634754
186	0.8510408357
187	0.8504891143
188	0.8500548841
189	0.8499004854
190	0.8494774756
191	0.8489958183
192	0.8485598657
193	0.8481329694
194	0.8476964453
195	0.8473029613
196	0.8468681895
197	0.8464126267
198	0.8460888313
199	0.8456453411
200	0.8451596988
201	0.8447941725
202	0.8444370958
203	0.8440261447
204	0.8436144319
205	0.8432903273
206	0.842707113
207	0.8422129642
208	0.8417995448
209	0.8414044715
210	0.8411049633
211	0.8406445203
212	0.8400657476
213	0.8396235156
214	0.8393376094
215	0.8389009343
216	0.8384596168
217	0.8379649553
218	0.8374205668
219	0.8370065155
220	0.8365476783
221	0.836134377
222	0.8356989931
223	0.8353157023
224	0.8348071953
225	0.8343836988
226	0.8338960258
227	0.8335509124
228	0.8331342689
229	0.8327088109
230	0.8322979015
231	0.8318773075
232	0.8315070234
233	0.8310904486
234	0.8306189403
235	0.8302405557
236	0.8298875099
237	0.8294706106
238	0.8290691308
239	0.8286696557
240	0.8282864653
241	0.8279076098
242	0.8274053922
243	0.8271024744
244	0.8267267474
245	0.8263618446
246	0.8260488138
247	0.8256032981
248	0.8252375803
249	0.8249153671
250	0.8244714627
251	0.8241639211
252	0.8237469055
253	0.8233052236
254	0.8229540924
255	0.8225555804
256	0.8222196488
257	0.821806492
258	0.8214512748
259	0.8211284626
260	0.8207258184
261	0.8204082924
262	0.820088439
263	0.8197982208
264	0.8194503276
265	0.8191678786
266	0.8188068412
267	0.8184812246
268	0.8181783677
269	0.8178468978
270	0.8174845189
271	0.8172356103
272	0.8169405681
273	0.8166547604
274	0.816343816
275	0.8160470032
276	0.8157132971
277	0.8153423575
278	0.8150355121
279	0.8147901116
280	0.8144131081
281	0.8141062492
282	0.8137813456
283	0.8134301014
284	0.8131348933
285	0.8127928678
286	0.8124919544
287	0.8122108506
288	0.8118255405
289	0.8115091151
290	0.8112743784
291	0.810971178
292	0.8106274108
293	0.8103636697
294	0.8100423227
295	0.8097925078
296	0.8094822221
297	0.8091942701
298	0.8088909111
299	0.8086065473
300	0.8083010457
301	0.8079844052
302	0.8077624322
303	0.8074596576
304	0.8071548146
305	0.8068261158
306	0.8064433865
307	0.8061528446
308	0.8058999159
309	0.8056152809
310	0.8053360983
311	0.8051097021
312	0.8048355237
313	0.8044719268
314	0.8041749247
315	0.8039434836
316	0.8036724638
317	0.8033361397
318	0.8030904773
319	0.8027270745
320	0.8024762289
321	0.8022097909
322	0.8019566151
323	0.8016465701
324	0.8014045514
325	0.801127901
326	0.8008350703
327	0.800545689
328	0.8002675044
329	0.800026872
330	0.7997346181
331	0.7994606046
332	0.7992105601
333	0.7989095614
334	0.7986407238
335	0.7983763059
336	0.7981651106
337	0.7979050545
338	0.7976214467
339	0.7973465637
340	0.7970774074
341	0.7968431658
342	0.7965701887
343	0.7962270017
344	0.7960311428
345	0.7957609749
346	0.7955557195
347	0.795337617
348	0.7950338504
349	0.7948249618
350	0.7945772881
351	0.7943280065
352	0.7941228662
353	0.7938643596
354	0.7936355968
355	0.7933366213
356	0.7931123395
357	0.7928495897
358	0.7925532015
359	0.7923532464
360	0.7921011578
361	0.791885603
362	0.7916452587
363	0.7914011063
364	0.7912245583
365	0.7909429943
366	0.7907215746
367	0.7904727691
