iter	Passed	Remaining
0	4	3262
1	7	3010
2	10	2769
3	16	3309
4	17	2728
5	25	3336
6	26	3027
7	43	4328
8	50	4430
9	53	4235
10	62	4466
11	63	4168
12	65	3966
13	77	4346
14	77	4079
15	78	3834
16	78	3623
17	106	4638
18	115	4753
19	124	4857
20	135	5023
21	136	4834
22	138	4665
23	139	4510
24	140	4364
25	141	4220
26	143	4099
27	241	6664
28	242	6447
29	244	6264
30	244	6063
31	287	6908
32	302	7028
33	306	6902
34	318	6960
35	319	6788
36	320	6612
37	341	6853
38	358	7000
39	364	6933
40	367	6797
41	368	6644
42	369	6498
43	381	6562
44	383	6433
45	384	6295
46	385	6169
47	386	6054
48	387	5944
49	389	5838
50	390	5737
51	391	5628
52	392	5534
53	394	5444
54	395	5357
55	396	5273
56	398	5192
57	398	5100
58	400	5025
59	409	5051
60	410	4972
61	411	4895
62	412	4821
63	413	4749
64	413	4679
65	420	4677
66	421	4616
67	444	4788
68	445	4718
69	470	4905
70	481	4948
71	485	4910
72	498	4969
73	500	4906
74	519	5019
75	532	5071
76	538	5058
77	539	4997
78	553	5051
79	563	5075
80	577	5123
81	590	5172
82	592	5117
83	593	5056
84	596	5014
85	597	4959
86	598	4908
87	601	4868
88	602	4814
89	607	4789
90	615	4798
91	625	4811
92	626	4764
93	627	4714
94	629	4668
95	629	4619
96	630	4568
97	631	4525
98	633	4483
99	634	4442
100	657	4552
101	658	4506
102	660	4467
103	667	4467
104	668	4426
105	726	4755
106	733	4747
107	740	4741
108	751	4766
109	753	4725
110	754	4684
111	755	4640
112	755	4596
113	757	4557
114	758	4519
115	825	4869
116	826	4824
117	826	4779
118	840	4807
119	842	4776
120	844	4739
121	846	4703
122	847	4667
123	877	4784
124	878	4743
125	879	4704
126	903	4785
127	914	4800
128	916	4765
129	917	4730
130	919	4693
131	920	4659
132	928	4657
133	939	4668
134	941	4635
135	941	4597
136	943	4565
137	963	4622
138	965	4590
139	967	4562
140	972	4544
141	972	4508
142	973	4474
143	974	4441
144	976	4409
145	977	4377
146	978	4347
147	979	4313
148	981	4286
149	982	4257
150	985	4236
151	998	4256
152	999	4228
153	1001	4199
154	1011	4209
155	1012	4178
156	1013	4150
157	1014	4120
158	1014	4091
159	1016	4064
160	1016	4036
161	1018	4009
162	1019	3983
163	1020	3957
164	1021	3929
165	1022	3904
166	1023	3878
167	1025	3856
168	1026	3832
169	1027	3807
170	1028	3783
171	1029	3760
172	1033	3746
173	1037	3730
174	1038	3710
175	1050	3725
176	1053	3707
177	1054	3684
178	1063	3689
179	1075	3703
180	1075	3678
181	1083	3679
182	1086	3663
183	1094	3662
184	1101	3663
185	1105	3649
186	1107	3631
187	1109	3612
188	1113	3599
189	1119	3595
190	1125	3588
191	1136	3599
192	1145	3604
193	1147	3585
194	1166	3619
195	1180	3637
196	1186	3631
197	1188	3612
198	1191	3598
199	1201	3603
200	1202	3583
201	1209	3579
202	1211	3564
203	1214	3547
204	1217	3532
205	1218	3512
206	1228	3520
207	1231	3504
208	1237	3498
209	1238	3478
210	1247	3483
211	1251	3470
212	1252	3450
213	1253	3431
214	1254	3412
215	1254	3393
216	1256	3374
217	1259	3363
218	1266	3359
219	1270	3349
220	1274	3340
221	1275	3322
222	1277	3304
223	1278	3286
224	1282	3276
225	1289	3275
226	1292	3262
227	1301	3265
228	1311	3270
229	1314	3257
230	1318	3247
231	1323	3240
232	1325	3224
233	1326	3208
234	1327	3192
235	1329	3177
236	1331	3162
237	1333	3147
238	1335	3135
239	1337	3120
240	1347	3125
241	1354	3123
242	1361	3120
243	1368	3119
244	1374	3114
245	1376	3099
246	1377	3084
247	1379	3070
248	1381	3056
249	1382	3041
250	1384	3027
251	1385	3013
252	1387	2999
253	1388	2985
254	1390	2971
255	1392	2958
256	1393	2944
257	1395	2931
258	1396	2918
259	1398	2904
260	1400	2891
261	1401	2878
262	1403	2865
263	1405	2852
264	1406	2839
265	1408	2826
266	1409	2814
267	1411	2801
268	1412	2789
269	1414	2776
270	1416	2764
271	1417	2751
272	1419	2739
273	1420	2727
274	1422	2715
275	1423	2703
276	1425	2691
277	1427	2679
278	1428	2667
279	1431	2658
280	1433	2648
281	1435	2636
282	1436	2623
283	1441	2618
284	1446	2613
285	1459	2623
286	1469	2627
287	1477	2626
288	1478	2614
289	1479	2601
290	1495	2615
291	1496	2604
292	1507	2609
293	1510	2599
